1.0,SUB,1.0,0.0,2023-02-11T15:31:47.565543300
1.0,SUB,1.0,0.0,2023-02-11T15:31:54.552748200
1.0,SUB,1.0,0.0,2023-02-11T15:32:01.251193300
1.0,SUB,1.0,0.0,2023-02-11T15:32:36.332398700
1.0,SUB,1.0,0.0,2023-02-11T15:33:02.505507400
1.0,SUB,1.0,0.0,2023-02-11T15:33:17.306085300
1.0,SUB,1.0,0.0,2023-02-11T15:33:51.578508100
1.0,SUB,1.0,0.0,2023-02-11T15:34:09.091384600
1.0,SUB,1.0,0.0,2023-02-11T15:38:34.238512100
1.0,SUB,1.0,0.0,2023-02-11T15:46:46.872224700
1.0,SUB,1.0,0.0,2023-02-11T15:46:52.357450800
1.0,SUB,1.0,0.0,2023-02-11T15:47:09.751364100
1.0,SUB,1.0,0.0,2023-02-11T15:48:23.497033800
1.0,SUB,1.0,0.0,2023-02-11T15:48:34.183593100
1.0,SUB,2.0,-1.0,2023-02-11T16:06:45.256280100
1.0,SUB,1.0,0.0,2023-02-11T16:08:27.772151800
1.0,SUB,1.0,0.0,2023-02-11T16:08:44.167814
1.0,SUB,1.0,0.0,2023-02-11T16:09:30.520346900
1.0,SUB,1.0,0.0,2023-02-11T16:10:34.907900500
1.0,SUB,1.0,0.0,2023-02-11T16:15:52.578133200
1.0,SUB,1.0,0.0,2023-02-11T16:16:06.013493100
12.5,SUM,15.4,27.9,2023-02-18T14:21:16.251206200
1.0,SUB,1.0,0.0,2023-02-18T15:10:39.587602700
1.0,SUB,1.0,0.0,2023-02-18T15:10:57.072481700
12.0,MUL,31.0,372.0,2023-02-18T15:14:58.785903100
1.0,SUB,1.0,0.0,2023-02-18T15:15:09.240719600
1.0,SUM,1.0,2.0,2023-02-18T15:15:20.788742700
1.0,SUB,1.0,0.0,2023-02-18T15:43:21.329394600
1.0,SUB,1.0,0.0,2023-02-18T15:44:10.977471500
1.2,MUL,1.0,1.2,2023-02-19T11:51:21.882694600
1.2,MUL,1.0,1.2,2023-02-19T11:52:19.943586300
0.2,SUM,1.0,1.2,2023-02-19T11:52:45.558246400
1.0,SUB,1.0,0.0,2023-02-19T11:58:42.295732
